Visit_Hour,Day_Type,Triage_Level,Doctor_Load,Staff_To_Patient_Ratio,Resource_Utilization_Rate,Bed_Occupancy_%,Num_Transfers,Num_Process_Steps,Loop_Count,Rework_Count,Repeated_Tests,Data_Error_Count,System_Downtime_Impact,Discharge_Bottleneck_Index,Wait_Time_Min,TAT_Min,Bed_Delay_Min,Admission_Delay_Min,Total_Delay_Min,Delay_Risk
6,1,1,14,0.15,99,82,2,7,0,3,2,0,0,18,94,122,54,24,294,1
19,1,2,58,0.43,50,66,1,4,1,4,0,0,0,29,70,42,65,13,190,0
14,1,3,41,0.27,88,69,2,7,1,2,0,0,0,8,76,69,42,27,214,0
10,1,2,45,0.42,66,50,1,4,1,0,1,1,0,34,64,66,47,30,207,0
7,0,2,24,0.23,52,65,0,3,2,0,0,1,0,53,58,34,71,19,182,0
20,1,2,28,0.49,91,94,3,8,1,2,0,0,0,34,56,62,69,20,207,0
6,0,1,31,0.4,56,67,3,6,1,0,1,0,0,12,62,56,66,18,202,0
18,1,3,43,0.48,76,59,0,4,0,1,2,0,0,25,53,93,39,18,203,0
22,1,3,26,0.28,77,72,2,6,0,3,0,0,0,44,59,57,72,16,204,0
10,1,1,21,0.26,93,67,2,5,0,1,0,1,0,50,68,77,60,26,231,1
10,0,3,34,0.39,80,98,5,8,0,0,0,0,0,27,79,50,80,33,242,1
23,1,2,26,0.45,64,58,2,6,0,2,1,0,1,24,51,106,48,20,225,0
20,1,3,19,0.48,97,95,0,3,0,1,1,0,0,55,37,75,92,12,216,0
3,1,2,37,0.2,57,79,0,3,0,0,0,0,0,38,77,43,57,21,198,0
7,0,1,27,0.41,55,62,2,7,0,0,0,0,0,2,55,21,38,23,137,0
23,0,2,27,0.14,77,80,2,7,1,1,0,0,0,10,93,44,50,41,228,0
2,0,2,54,0.3,53,95,2,6,1,4,1,2,0,29,88,53,64,42,247,1
21,1,1,41,0.13,79,92,3,7,0,0,0,1,0,52,119,39,77,46,281,1
20,0,2,23,0.21,92,62,1,6,0,1,0,0,1,32,70,96,50,19,235,1
1,1,2,25,0.47,66,81,1,6,1,0,0,0,1,33,47,93,65,14,219,0
23,0,3,59,0.12,83,66,2,6,0,2,0,0,1,40,149,75,55,56,335,1
11,0,1,27,0.33,55,52,1,5,2,0,0,0,0,2,61,40,21,13,135,0
5,1,2,25,0.32,85,50,2,6,0,0,0,0,0,4,50,67,40,14,171,0
1,0,1,26,0.1,84,54,4,9,0,4,0,0,0,30,137,77,46,33,293,1
20,1,3,16,0.2,88,81,4,9,0,0,1,0,0,3,81,72,46,29,228,0
0,1,1,21,0.3,88,74,1,4,0,1,0,0,1,7,53,101,46,10,210,0
11,0,3,43,0.13,65,94,3,7,0,1,2,0,0,58,117,98,86,30,331,1
21,1,3,19,0.41,51,54,1,4,0,3,1,0,0,16,48,47,24,14,133,0
11,1,2,14,0.49,57,86,2,6,1,0,0,0,0,21,43,43,33,7,126,0
16,0,2,30,0.15,64,72,2,7,0,2,0,1,0,37,97,56,78,40,271,1
9,0,1,12,0.13,76,61,3,7,1,2,1,1,0,23,98,85,46,46,275,1
